season,player_name,total_plays,total_yards,total_tds,total_epa,avg_epa_per_play,pass_attempts,completions,pass_yards,pass_tds,interceptions,sacks,air_yards_total,yac_total,qb_epa_total,cpoe_avg,rush_attempts,rush_yards,rush_tds,rush_epa_total,rush_success_rate,fumbles,fumbles_lost,tackles_for_loss,first_down_rushes,avg_rush_epa,receptions,targets,rec_yards,rec_tds,air_yards_rec,yac_rec,rec_epa_total,yac_epa_total,air_epa_total,rec_success_rate,position.x,latest_team,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,draft_year,draft_round,draft_overall
2018,R.Fitzpatrick,312,2444,21,49.9873048507899,0.160215720675608,261,164,2366,17,12,14,2546,874,66.3284482117916,5.24838347824252,35,152,2,3.73815753598083,0.428571428571429,9,4,0,9,0.106804501028024,0,0,2366,0,0,0,0,0,0,NA,QB,WAS,1,3.3,3.3,1.3,0.019,5.199549,5.199549,2.048307,2005,7,250
2018,M.Prater,1,8,1,4.07092762179673,4.07092762179673,1,1,8,1,0,0,8,0,4.07092762179673,58.9605987071991,0,0,0,0,NA,0,0,0,0,NA,0,0,8,0,0,0,0,0,0,NA,K,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,S.Koch,1,21,0,4.49072372843511,4.49072372843511,1,1,21,0,0,0,19,2,4.49072372843511,39.4889712333679,0,0,0,0,NA,0,0,0,0,NA,0,0,21,0,0,0,0,0,0,NA,P,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,A.Peterson,262,1042,7,-35.6023943164751,-0.13588700120792,0,0,0,0,0,0,0,0,-35.6023943164751,NA,251,1042,7,-24.2657921242776,0.382470119521912,2,1,42,47,-0.0966764626465244,0,0,0,0,0,0,0,0,0,NA,RB,SEA,1,1.015,1.015,0,0.006,1.599255,1.599255,0,2007,1,7
2018,T.Ginn,3,26,0,0.793055294663645,0.264351764887882,0,0,0,0,0,0,0,0,0.793055294663645,NA,3,26,0,0.793055294663645,0.666666666666667,0,0,0,1,0.264351764887882,0,0,0,0,0,0,0,0,0,NA,WR,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,M.Lynch,92,376,3,-4.56625373770877,-0.0496331928011823,0,0,0,0,0,0,0,0,-4.56625373770877,NA,90,376,3,-2.75941792973246,0.455555555555556,0,0,8,20,-0.0306601992192495,0,0,0,0,0,0,0,0,0,NA,RB,SEA,1,4.5,4.5,3.5,0.025,7.090293,7.090293,5.514673,2007,1,12
2018,Z.DeOssie,1,0,0,-0.745105739915743,-0.745105739915743,0,0,0,0,0,0,0,0,-0.745105739915743,NA,0,0,0,0,NA,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,LS,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,D.Amendola,2,26,1,1.78336865932215,0.891684329661075,1,1,28,1,0,0,25,3,1.78336865932215,62.1551483869553,1,-2,0,-0.718420931370929,0,0,0,1,0,-0.718420931370929,0,0,28,0,0,0,0,0,0,NA,WR,HOU,2,12,6,5.95,0.034,18.907449,9.453725,9.374944,2008,NA,NA
2018,M.Ryan,719,4760,41,138.40097050772,0.192490918647733,655,422,4924,35,7,42,5201,2133,157.493276131967,4.34989212941724,32,128,3,11.6182658915121,0.625,17,9,0,15,0.363070809109752,0,0,4924,0,0,0,0,0,0,NA,QB,IND,5,150,30,94.5,0.169,236.343115,47.268623,148.896163,2008,1,3
2018,J.Stewart,6,17,0,-1.89039710717043,-0.315066184528405,0,0,0,0,0,0,0,0,-1.89039710717043,NA,6,17,0,-1.89039710717043,0,0,0,1,0,-0.315066184528405,0,0,0,0,0,0,0,0,0,NA,RB,NYG,2,6.9,3.45,2.95,0.019,10.871783,5.435892,4.648081,2008,1,13
2018,J.Flacco,439,2432,12,32.172936427796,0.0732868711339317,394,232,2465,12,6,16,3237,1025,36.6873203361572,-2.61227802694005,19,45,0,0.174755844695028,0.578947368421053,4,2,0,10,0.00919767603658044,0,0,2475,0,0,0,0,0,0,NA,QB,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,J.Nelson,1,-2,0,-1.17307024565525,-1.17307024565525,0,0,0,0,0,0,0,0,-1.17307024565525,NA,1,-2,0,-1.17307024565525,0,0,0,1,0,-1.17307024565525,0,0,0,0,0,0,0,0,0,NA,WR,LV,2,14.2,7.1,10,0.04,22.373815,11.186907,15.756208,2008,2,36
2018,D.Jackson,6,29,1,1.07408832170768,0.179014720284613,0,0,0,0,0,0,0,0,1.07408832170768,NA,6,29,1,1.07408832170768,0.5,0,0,1,2,0.179014720284613,0,0,0,0,0,0,0,0,0,NA,WR,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,C.Henne,4,32,0,0.0461029387661256,0.0115257346915314,3,2,29,0,0,0,18,15,0.0461029387661256,-6.72556161880493,1,3,0,-0.330853099003434,0,0,0,0,0,-0.330853099003434,0,0,29,0,0,0,0,0,0,NA,QB,KC,2,6.7,3.35,5.115,0.019,10.556659,5.27833,8.0593,2008,2,57
2018,J.Charles,6,7,0,-3.16783446347108,-0.527972410578514,0,0,0,0,0,0,0,0,-3.16783446347108,NA,6,7,0,-3.16783446347108,0,0,0,2,0,-0.527972410578514,0,0,0,0,0,0,0,0,0,NA,RB,JAX,1,0.915,0.915,0,0.005,1.441693,1.441693,0,2008,3,73
2018,J.Johnson,135,647,5,-7.30717839673622,-0.0541272473832311,102,52,590,3,4,9,839,302,-7.30717839673622,-4.87340620194359,23,120,1,2.44781783311083,0.521739130434783,2,0,2,7,0.106426862309167,0,0,590,0,0,0,0,0,0,NA,QB,WAS,1,1.005,1.005,0.045,0.006,1.583499,1.583499,0.070903,2008,5,160
2018,M.Stafford,660,3593,24,18.9558893076077,0.0287210444054666,597,367,3777,21,11,40,3836,2030,24.3072314542418,-2.11002508945325,25,71,0,-7.4741390963476,0.4,10,6,0,8,-0.298965563853904,0,0,3777,0,0,0,0,0,0,NA,QB,LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,C.Daniel,105,478,4,-18.8214549032827,-0.179251951459835,86,53,515,3,2,9,648,168,-9.2398835943285,4.1834055985275,13,3,0,-5.15449162840378,0.0769230769230769,6,2,0,1,-0.39649935603106,0,0,515,0,0,0,0,0,0,NA,QB,LAC,2,10,5,7,0.028,15.756208,7.878104,11.029345,2009,NA,NA
2018,B.Hoyer,13,-1,0,-2.87559975450858,-0.221199981116045,2,1,7,0,0,0,4,10,-2.87559975450858,-28.5696029663086,11,-8,0,0.126338253961876,0.0909090909090909,0,0,0,1,0.011485295814716,0,0,7,0,0,0,0,0,0,NA,QB,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,M.Sanchez,43,104,1,-30.0975243663517,-0.699942427124458,42,19,138,0,3,7,220,83,-30.0975243663517,-14.4314307500334,1,8,0,1.59005501493812,1,1,0,0,1,1.59005501493812,0,0,134,0,0,0,0,0,0,NA,QB,WAS,1,0.915,0.915,0,0.005,1.441693,1.441693,0,2009,1,5
2018,D.Heyward-Bey,1,-7,0,-2.09653946524486,-2.09653946524486,0,0,0,0,0,0,0,0,-2.09653946524486,NA,1,-7,0,-2.09653946524486,0,0,0,1,0,-2.09653946524486,0,0,0,0,0,0,0,0,0,NA,WR,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,A.Mack,2,0,0,-6.2273444403545,-3.11367222017725,0,0,0,0,0,0,0,0,-6.2273444403545,NA,2,0,0,-6.2273444403545,0,2,1,0,0,-3.11367222017725,0,0,0,0,0,0,0,0,0,NA,C,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,L.McCoy,167,514,3,-40.0067021343937,-0.239561090625112,0,0,0,0,0,0,0,0,-40.0067021343937,NA,161,514,3,-35.9600325750284,0.279503105590062,0,0,24,22,-0.22335423959645,0,0,0,0,0,0,0,0,0,NA,RB,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,J.Edelman,13,165,0,13.3141451263218,1.02416500971706,2,2,43,0,0,0,-2,45,13.3141451263218,40.2410209178925,11,122,0,10.1389399933396,1,0,0,0,7,0.921721817576326,0,0,43,0,0,0,0,0,0,NA,WR,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,L.Blount,159,418,5,-40.6021512664661,-0.25535944192746,0,0,0,0,0,0,0,0,-40.6021512664661,NA,155,418,5,-37.764216856092,0.264516129032258,1,0,23,25,-0.24364010874898,0,0,0,0,0,0,0,0,0,NA,RB,DET,1,2,2,2,0.011,3.151242,3.151242,3.151242,2010,NA,NA
2018,C.Ivory,118,385,1,-19.0163436883013,-0.161155454985604,0,0,0,0,0,0,0,0,-19.0163436883013,NA,115,385,1,-18.6881409547641,0.330434782608696,1,0,13,25,-0.162505573519688,0,0,0,0,0,0,0,0,0,NA,RB,BUF,2,5.5,2.75,2.5,0.016,8.665914,4.332957,3.939052,2010,NA,NA
2018,E.Dickson,1,9,0,1.91750965197571,1.91750965197571,0,0,0,0,0,0,0,0,1.91750965197571,NA,1,9,0,1.91750965197571,1,0,0,0,1,1.91750965197571,0,0,0,0,0,0,0,0,0,NA,TE,SEA,3,10.7,3.566667,3.6,0.02,16.859142,5.619715,5.672235,2010,3,70
2018,E.Sanders,5,81,2,6.29860305243791,1.25972061048758,1,1,28,1,0,0,28,0,6.29860305243791,67.9860562086105,4,53,1,3.73712909552422,0.75,0,0,1,2,0.934282273881056,0,0,28,0,0,0,0,0,0,NA,WR,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,C.McCoy,73,399,3,1.06266273013739,0.0145570237005122,58,34,372,3,3,6,479,151,1.06266273013739,-0.411441234441907,10,63,0,4.20730971824378,0.5,2,0,0,4,0.420730971824378,0,0,372,0,0,0,0,0,0,NA,QB,ARI,2,6.5,3.25,2,0.018,10.241535,5.120767,3.151242,2010,3,85
2018,A.Roberts,3,20,0,0.617024431820028,0.205674810606676,0,0,0,0,0,0,0,0,0.617024431820028,NA,2,20,0,1.40352507610805,0.5,0,0,0,1,0.701762538054027,0,0,0,0,0,0,0,0,0,NA,WR,CAR,1,1.005,1.005,0.09,0.006,1.583499,1.583499,0.141806,2010,3,88
2018,A.Brown,1,0,0,-0.45709213684313,-0.45709213684313,1,0,0,0,0,0,12,0,-0.45709213684313,-44.7630792856216,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,WR,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,S.Bradford,92,374,2,-32.5524917147558,-0.353831431682128,87,50,400,2,4,6,512,192,-32.5524917147558,-7.30878099799156,2,7,0,0.39248498622328,0.5,3,2,0,1,0.19624249311164,0,0,400,0,0,0,0,0,0,NA,QB,ARI,2,40,20,15,0.113,63.024831,31.512415,23.634312,2010,1,1
2018,G.Tate,4,34,0,0.960853592841886,0.240213398210471,0,0,0,0,0,0,0,0,0.960853592841886,NA,4,34,0,0.960853592841886,0.5,0,0,1,1,0.240213398210471,0,0,0,0,0,0,0,0,0,NA,WR,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
